Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
,Przedświt,Chelsea Quinn Yarbro,"Yarbro, Chelsea Quinn",,8385060065,,0.0,,,,,,,,2026/06/05,TBR,to-read (#1093),to-read,,,,0,
,Lód,Anna Kavan,"Kavan, Anna",,9788368191615,,0.0,,,,,,,,2026/06/05,TBR,to-read (#1092),to-read,,,,0,
,Czas przemian,Robert Silverberg,"Silverberg, Robert",,8385202609,,0.0,,,,,,,,2026/06/05,"Buylist, TBR",to-read (#1091),to-read,,,,0,
,Wampirze cesarstwo,Jay Kristoff,"Kristoff, Jay",,9788367793384,,0.0,,,,,,,,2026/06/05,Posiadam,currently-reading (#6),currently-reading,,,,1,
,Front burzowy,Jim Butcher,"Butcher, Jim",,9788374802253,,3.0,,,,,,,2026/06/02,2026/06/05,Audiobook,,read,,,,1,
,Podniebna krucjata,Poul Anderson,"Anderson, Poul",,9788383384238,,3.0,,,,,,,2026/05/30,2026/06/05,Posiadam,,read,,,,1,
,Wyjście z cienia,Janusz A. Zajdel,"Zajdel, Janusz A.",,9788370541934,,3.0,,,,,,,2026/05/30,2026/06/05,Z biblioteki,,read,,,,1,
,Blade Runner,Philip K. Dick,"Dick, Philip K.",,8374692316,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1090),to-read,,,,0,
,Po piśmie,Jacek Dukaj,"Dukaj, Jacek",,9788308069998,,4.0,,,,,,,2026/05/29,2026/06/05,Audiobook,,read,,,,1,
,Mieć i nie mieć,Ernest Hemingway,"Hemingway, Ernest",,9788368753240,,4.0,,,,,,,2026/05/28,2026/06/05,Posiadam,,read,,,,1,
,Słuchaj pieśni wiatru. Flipper roku 1973,Haruki Murakami,"Murakami, Haruki",,9788328733329,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1089),to-read,,,,0,
,Bezbarwny Tsukuru Tazaki i lata jego pielgrzymstwa,Haruki Murakami,"Murakami, Haruki",,9788328733268,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1088),to-read,,,,0,
,Gaijin,Arkady Saulski,"Saulski, Arkady",,,,2.0,,,,,,,2026/05/28,2026/06/05,Audiobook,,read,,,,1,
,Opowieści niesamowite z języka japońskiego,Kenzaburō Ōe,"Ōe, Kenzaburō",,9788381969796,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1087),to-read,,,,0,
,Wojna starego człowieka,John Scalzi,"Scalzi, John",,9788374181792,,3.0,,,,,,,2024/01/01,2026/06/05,Z biblioteki,,read,,,,1,
,Oko potwora,Jacek Dukaj,"Dukaj, Jacek",,9788308089019,,0.0,,,,,,,,2026/06/05,Z biblioteki,currently-reading (#5),currently-reading,,,,1,
,Dławiący horror. Zbiór opowiadań grozy,Robert E. Howard,"Howard, Robert E.",,9788383358253,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1086),to-read,,,,0,
,Judasz wyzwolony: Pościg,Peter F. Hamilton,"Hamilton, Peter F.",,9788375064346,,4.0,,,,,,,2026/05/25,2026/06/05,Posiadam,,read,,,,1,
,Butcher’s Crossing,John Williams,"Williams, John",,9788368180794,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1085),to-read,,,,0,
,Wbrew wskazówkom zegara,Philip K. Dick,"Dick, Philip K.",,9788378184768,,0.0,,,,,,,,2026/06/05,Z biblioteki,currently-reading (#4),currently-reading,,,,1,
,Świat Jonesa,Philip K. Dick,"Dick, Philip K.",,9788378184539,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1084),to-read,,,,0,
,Powrót,Stanisław Lem,"Lem, Stanisław",,9788308088623,,4.0,,,,,,,2026/05/23,2026/06/05,Z biblioteki,,read,,,,1,
,Wśród umarłych,Stanisław Lem,"Lem, Stanisław",,9788308086117,,4.0,,,,,,,2026/05/20,2026/06/05,Z biblioteki,,read,,,,1,
,Katar,Stanisław Lem,"Lem, Stanisław",,8308029310,,3.0,,,,,,,2026/05/18,2026/06/05,Z biblioteki,,read,,,,1,
,Solaris,Stanisław Lem,"Lem, Stanisław",,9788365864611,,4.0,,,,,,,2026/05/18,2026/06/05,Audiobook,,read,,,,1,
,Cylinder van Troffa,Janusz A. Zajdel,"Zajdel, Janusz A.",,9788375780031,,0.0,,,,,,,,2026/06/05,Z biblioteki,currently-reading (#3),currently-reading,,,,1,
,Baśnie,Hermann Hesse,"Hesse, Hermann",,9788397750920,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1083),to-read,,,,0,
,Słoneczna loteria,Philip K. Dick,"Dick, Philip K.",,9788380624719,,3.0,,,,,,,2026/05/15,2026/06/05,Posiadam,,read,,,,1,
,Dzienniki gwiazdowe,Stanisław Lem,"Lem, Stanisław",,,,3.0,,,,,,,2026/05/13,2026/06/05,Audiobook,,read,,,,1,
,Klany księżyca Alfy,Philip K. Dick,"Dick, Philip K.",,9788381884976,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1082),to-read,,,,0,
,Extensa,Jacek Dukaj,"Dukaj, Jacek",,9788308042,,4.0,,,,,,,2026/05/12,2026/06/05,Z biblioteki,,read,,,,1,
,Astronauci,Stanisław Lem,"Lem, Stanisław",,9788308063620,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1081),to-read,,,,0,
,Eden,Stanisław Lem,"Lem, Stanisław",,9788308061749,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1080),to-read,,,,0,
,Krew elfów,Andrzej Sapkowski,"Sapkowski, Andrzej",,,,2.0,,,,,,,2026/05/11,2026/06/05,Audiobook,,read,,,,1,
,Fiasko,Stanisław Lem,"Lem, Stanisław",,9788308063507,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1079),to-read,,,,0,
,Człowiek z Marsa,Stanisław Lem,"Lem, Stanisław",,9788308063613,,3.0,,,,,,,2026/05/10,2026/06/05,Posiadam,,read,,,,1,
,Syriusz,Olaf Stapledon,"Stapledon, Olaf",,,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1078),to-read,,,,0,
,Obłok Magellana,Stanisław Lem,"Lem, Stanisław",,9788308086957,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1077),to-read,,,,0,
,Powrót z gwiazd,Stanisław Lem,"Lem, Stanisław",,,,5.0,,,,,,,2026/05/08,2026/06/05,Audiobook,,read,,,,1,
,Pierwszych piętnaście żywotów Harry'ego Augusta,Claire North,"North, Claire",,9788379437924,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1076),to-read,,,,0,
,Droga zimnego serca,Glen Cook,"Cook, Glen",,9788378187066,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1075),to-read,,,,0,
,Malte. Zapiski Maltego Lauridsa Brigge,Rainer Maria Rilke,"Rilke, Rainer Maria",,9788379985975,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1074),to-read,,,,0,
,Drood,Dan Simmons,"Simmons, Dan",,9788367023061,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1073),to-read,,,,0,
,Pradawna stolica,Michael James Sullivan,"Sullivan, Michael James",,9788368591415,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1072),to-read,,,,0,
,Zdradziecki plan,Michael James Sullivan,"Sullivan, Michael James",,9788368591408,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1071),to-read,,,,0,
,Miecz przeznaczenia,Andrzej Sapkowski,"Sapkowski, Andrzej",,9788375781915,,4.0,,,,,,,2026/05/03,2026/06/05,Audiobook,,read,,,,1,
,Szpital Przemienienia,Stanisław Lem,"Lem, Stanisław",,8375524093,,4.0,,,,,,,2026/05/02,2026/06/05,Z biblioteki,,read,,,,1,
,Drugie spojrzenie na planetę Ksi,Janusz A. Zajdel,"Zajdel, Janusz A.",,9788375780703,,0.0,,,,,,,,2026/06/05,E-book,currently-reading (#2),currently-reading,,,,1,
,Cała prawda o planecie Ksi. Drugie spojrzenie na planetę Ksi,Janusz A. Zajdel,"Zajdel, Janusz A.",,9788366817074,,4.0,,,,,,,2026/05/02,2026/06/05,Audiobook,,read,,,,1,
,Fantastyczna podróż,Isaac Asimov,"Asimov, Isaac",,9788383384382,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1070),to-read,,,,0,
,Ogród Suldrun,Jack Vance,"Vance, Jack",,9788384080382,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1069),to-read,,,,0,
,Kane - Era upadłych imperiów,Karl Edward Wagner,"Wagner, Karl Edward",,9788384080160,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1068),to-read,,,,0,
,Wiedźmin. Ostatnie życzenie,Andrzej Sapkowski,"Sapkowski, Andrzej",,9788375781908,,4.0,,,,,,,2026/04/29,2026/06/05,Audiobook,,read,,,,1,
,Limes inferior,Janusz A. Zajdel,"Zajdel, Janusz A.",,9788360313398,,4.0,,,,,,,2026/04/29,2026/06/05,Audiobook,,read,,,,1,
,Judasz wyzwolony: Śledztwo,Peter F. Hamilton,"Hamilton, Peter F.",,9788375063448,,4.0,,,,,,,2026/04/26,2026/06/05,Posiadam,,read,,,,1,
,Niezwyciężony,Stanisław Lem,"Lem, Stanisław",,9788308060377,,0.0,,,,,,,,2026/06/05,Posiadam,currently-reading (#1),currently-reading,,,,1,
,Lux Perpetua,Andrzej Sapkowski,"Sapkowski, Andrzej",,9788375780499,,4.0,,,,,,,2026/04/24,2026/06/05,Audiobook,,read,,,,1,
,Czerwony kwiecień,Santiago Roncagliolo,"Roncagliolo, Santiago",,9788368295870,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1067),to-read,,,,0,
,Boży bojownicy,Andrzej Sapkowski,"Sapkowski, Andrzej",,9788375780482,,4.0,,,,,,,2026/04/19,2026/06/05,Audiobook,,read,,,,1,
,Nasz człowiek w Hawanie,Graham Greene,"Greene, Graham",,9788375081916,,0.0,,,,,,,,2026/06/05,"Z biblioteki, TBR",to-read (#1066),to-read,,,,0,
,Notatki z podziemia,Fiodor Dostojewski,"Dostojewski, Fiodor",,9788379985272,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1065),to-read,,,,0,
,Synowie,Pearl S. Buck,"Buck, Pearl S.",,9788377580110,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1064),to-read,,,,0,
,Klejnoty koronne,Walter Jon Williams,"Williams, Walter Jon",,83-87968-07-2,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1063),to-read,,,,0,
,Narrenturm,Andrzej Sapkowski,"Sapkowski, Andrzej",,9788391315637,,5.0,,,,,,,2026/04/14,2026/06/05,Audiobook,,read,,,,1,
,Diuna,Frank Herbert,"Herbert, Frank",,9788375109344,,4.0,,,,,,,2026/04/09,2026/06/05,Audiobook,,read,,,,1,
,Wrota Abaddona,James S.A. Corey,"Corey, James S.A.",,9788366065031,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1062),to-read,,,,0,
,Wolność pod ostrzałem,Ron Paul,"Paul, Ron",,978-83-81344-04-9,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1061),to-read,,,,0,
,Krwawy las,Geraint Jones,"Jones, Geraint",,9788380623279,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1060),to-read,,,,0,
,Książę cierni,Mark Lawrence,"Lawrence, Mark",,9788383752242,,0.0,,,,,,,,2026/06/05,Buylist,to-read (#1059),to-read,,,,0,
,Bractwo Róży,David Morrell,"Morrell, David",,,,2.0,,,,,,,2026/04/02,2026/06/05,Audiobook,,read,,,,1,
,Gertruda,Hermann Hesse,"Hesse, Hermann",,9788380086838,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1058),to-read,,,,0,
,Podróż na wschód,Hermann Hesse,"Hesse, Hermann",,9788380086234,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1057),to-read,,,,0,
,Cesarstwo świtu,Jay Kristoff,"Kristoff, Jay",,9788368591446,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1056),to-read,,,,0,
,Gwiazdozbiór Psa,Peter Heller,"Heller, Peter",,9788368337020,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1055),to-read,,,,0,
,Legenda,David Gemmell,"Gemmell, David",,9788377190067,,0.0,,,,,,,,2026/06/05,Buylist,to-read (#1054),to-read,,,,0,
,Nigdy,Ken Follett,"Follett, Ken",,9788382157734,,3.0,,,,,,,2026/03/29,2026/06/05,Audiobook,,read,,,,1,
,Śmierć w dzielnicy weneckiej,Alan Gordon,"Gordon, Alan",,9788375102093,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1053),to-read,,,,0,
,Błazen wkracza na scenę,Alan Gordon,"Gordon, Alan",,9788375102086,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1052),to-read,,,,0,
,Trzynasta noc,Alan Gordon,"Gordon, Alan",,8375102079,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1051),to-read,,,,0,
,Świt po bitwie,Marcin Mortka,"Mortka, Marcin",,9788389595348,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1050),to-read,,,,0,
,Noc szpilek,Santiago Roncagliolo,"Roncagliolo, Santiago",,9788367515542,,4.0,,,,,,,2026/03/23,2026/06/05,Z biblioteki,,read,,,,1,
,Gwiazda zaranna,Pierce Brown,"Brown, Pierce",,9788368240139,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1049),to-read,,,,0,
,Kasztanek. Perła,John Steinbeck,"Steinbeck, John",,9788383912462,,0.0,,,,,,,,2026/06/05,Posiadam,to-read (#1048),to-read,,,,0,
,Król w Żółci,Robert W. Chambers,"Chambers, Robert W.",,9788374702959,,4.0,,,,,,,2026/03/22,2026/06/05,Posiadam,,read,,,,1,
,Gwiazda Pandory: Inwazja,Peter F. Hamilton,"Hamilton, Peter F.",,9788375062397,,4.0,,,,,,,2026/03/20,2026/06/05,Posiadam,,read,,,,1,
